Brokerage,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date,,,Time,,Date
 05/13/2022, YOU BOUGHT VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,10,11.58,,,,-115.8,5/17/2022,,,09:36:07,,5/22/2022
 05/13/2022, YOU SOLD VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,-20,11.25,,0.01,,224.99,5/17/2022,,,09:34:37,,5/22/2022
 05/13/2022, YOU SOLD VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,-20,11,,0.01,,219.99,5/17/2022,,,09:31:57,,5/22/2022
 05/13/2022, YOU BOUGHT VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,10,10.99,,,,-109.9,5/17/2022,,,09:30:12,,5/22/2022
 05/13/2022, YOU SOLD VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,-10,10.9,,0.01,,108.99,5/17/2022,,,09:27:10,,5/22/2022
 05/13/2022, YOU BOUGHT VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,30,11.06,,,,-331.8,5/17/2022,,,09:23:08,,5/22/2022
 05/13/2022, YOU BOUGHT VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,10,11.09,,,,-110.9,5/17/2022,,,09:22:25,,5/22/2022
 05/13/2022, YOU SOLD VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,-10,10.71,,0.01,,107.09,5/17/2022,,,09:21:40,,5/22/2022
 05/13/2022, YOU SOLD VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,-10,10.7,,0.01,,106.99,5/17/2022,,,09:15:00,,5/22/2022
 05/13/2022, YOU SOLD VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,-10,10.65,,0.01,,106.49,5/17/2022,,,09:14:49,,5/22/2022
 05/13/2022, YOU BOUGHT VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,10,10.4,,,,-104,5/17/2022,,,09:11:21,,5/22/2022
 05/13/2022, YOU BOUGHT VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,10,10.49,,,,-104.9,5/17/2022,,,09:10:28,,5/22/2022
 05/13/2022, YOU BOUGHT VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,10,10.61,,,,-106.1,5/17/2022,,,09:10:19,,5/22/2022
 05/13/2022, YOU SOLD POLARITYTE INC COM (PTE) (Cash), PTE, POLARITYTE INC COM,Cash,-100,0.25,,0.01,,24.67,5/17/2022,,,09:07:58,,5/22/2022
 05/13/2022, YOU SOLD MULLEN AUTOMOTIVE INC COM (MULN) (Cash), MULN, MULLEN AUTOMOTIVE INC COM,Cash,-50,1.08,,0.01,,53.99,5/17/2022,,,09:05:58,,5/22/2022
 05/13/2022, YOU BOUGHT MULLEN AUTOMOTIVE INC COM (MULN) (Cash), MULN, MULLEN AUTOMOTIVE INC COM,Cash,50,1.12,,,,-56,5/17/2022,,,09:05:18,,5/22/2022
 05/13/2022, YOU SOLD MULLEN AUTOMOTIVE INC COM (MULN) (Cash), MULN, MULLEN AUTOMOTIVE INC COM,Cash,-100,1.07,,0.02,,106.98,5/17/2022,,,08:36:37,,5/22/2022
 05/13/2022, YOU BOUGHT MULLEN AUTOMOTIVE INC COM (MULN) (Cash), MULN, MULLEN AUTOMOTIVE INC COM,Cash,100,1.12,,,,-112,5/17/2022,,,08:32:43,,5/22/2022
 05/13/2022, YOU SOLD MULLEN AUTOMOTIVE INC COM (MULN) (Cash), MULN, MULLEN AUTOMOTIVE INC COM,Cash,-100,1.11,,0.01,,110.99,5/17/2022,,,08:27:41,,5/22/2022
 05/13/2022, YOU SOLD MULLEN AUTOMOTIVE INC COM (MULN) (Cash), MULN, MULLEN AUTOMOTIVE INC COM,Cash,-100,1.07,,0.01,,106.99,5/17/2022,,,08:27:28,,5/22/2022
 05/13/2022, YOU BOUGHT POLARITYTE INC COM (PTE) (Cash), PTE, POLARITYTE INC COM,Cash,100,0.28,,,,-27.7,5/17/2022,,,08:26:20,,5/22/2022
 05/13/2022, YOU BOUGHT POLARITYTE INC COM (PTE) (Cash), PTE, POLARITYTE INC COM,Cash,100,0.28,,,,-27.65,5/17/2022,,,08:24:35,,5/22/2022
 05/13/2022, YOU BOUGHT MULLEN AUTOMOTIVE INC COM (MULN) (Cash), MULN, MULLEN AUTOMOTIVE INC COM,Cash,100,1.06,,,,-106,5/17/2022,,,08:24:15,,5/22/2022
 05/13/2022, YOU SOLD MULLEN AUTOMOTIVE INC COM (MULN) (Cash), MULN, MULLEN AUTOMOTIVE INC COM,Cash,-100,1.01,,0.01,,100.99,5/17/2022,,,08:22:17,,5/22/2022
 05/13/2022, YOU BOUGHT MULLEN AUTOMOTIVE INC COM (MULN) (Cash), MULN, MULLEN AUTOMOTIVE INC COM,Cash,100,1.04,,,,-104,5/17/2022,,,08:20:15,,5/22/2022
 05/13/2022, YOU BOUGHT MULLEN AUTOMOTIVE INC COM (MULN) (Cash), MULN, MULLEN AUTOMOTIVE INC COM,Cash,100,1.07,,,,-107,5/17/2022,,,08:20:06,,5/22/2022
 05/13/2022, YOU SOLD COINBASE GLOBAL INC COM CL A (COIN) (Cash), COIN, COINBASE GLOBAL INC COM CL A,Cash,-10,68.2,,0.02,,681.98,5/17/2022,,,08:13:21,,5/22/2022
